Date,Open,High,Low,Close,Adj Close,Volume
2020-06-15,59.330002,60.360001,58.580002,60.099998,58.545387,29651700
2020-06-16,61.490002,61.650002,59.490002,60.400002,58.837631,23226600
2020-06-17,60.740002,61.279999,60.060001,60.490002,58.925301,20454800
2020-06-18,60.349998,60.509998,59.320000,60.080002,58.525906,24899700
2020-06-19,60.650002,60.889999,59.099998,59.619999,58.077801,60336100
2020-06-22,59.730000,60.549999,58.830002,60.090000,58.535648,22846000
2020-06-23,60.189999,60.470001,59.860001,59.919998,58.370041,22809600
2020-06-24,59.639999,59.810001,58.669998,59.090000,57.561512,27764500
2020-06-25,58.980000,59.090000,57.480000,58.509998,56.996517,21906900
2020-06-26,58.490002,58.730000,57.070000,57.500000,56.012646,38477500
2020-06-29,57.470001,58.349998,56.759998,58.270000,56.762726,22150300
2020-06-30,58.709999,59.980000,58.540001,59.830002,58.282379,31542100
2020-07-01,59.910000,60.029999,58.759998,58.810001,57.288757,14748100
2020-07-02,59.189999,59.810001,58.970001,59.130001,57.600483,15578600
2020-07-06,58.720001,59.619999,58.599998,59.540001,57.999874,20536700
2020-07-07,59.070000,59.570000,58.139999,58.310001,56.801693,15996500
2020-07-08,58.450001,58.700001,57.930000,58.610001,57.093929,13277900
2020-07-09,58.200001,58.750000,57.700001,58.419998,56.908844,20683700
2020-07-10,57.950001,59.689999,57.830002,59.529999,57.990131,17742300
2020-07-13,59.840000,60.619999,58.389999,58.580002,57.064709,19082900
2020-07-14,57.869999,59.250000,57.349998,58.980000,57.454361,24190900
2020-07-15,59.029999,59.340000,58.419998,59.029999,57.503063,19986300
2020-07-16,58.540001,59.360001,58.400002,59.139999,57.610218,12425900
2020-07-17,59.419998,60.459999,59.279999,60.000000,58.447975,16322800
2020-07-20,60.080002,61.380001,59.340000,61.150002,59.568230,16868700
2020-07-21,61.520000,61.930000,60.439999,60.700001,59.129871,19803700
2020-07-22,61.310001,61.770000,60.619999,61.049999,59.470814,18959900
